user_id,book_id
9,8
34,380
34,483
70,498
76,4250
29,3508
29,323
29,131
29,2304
105,233
29,2284
29,662
124,5
94,5704
94,1847
94,1239
94,10
94,94
29,709
29,4359
142,6932
124,8456
149,3156
149,3048
149,2259
149,4388
149,1205
149,430
149,1915
149,3828
149,7277
124,4531
124,2926
167,177
167,76
167,736
175,3156
185,297
185,8167
185,2559
184,323
112,2770
10,4369
210,614
194,1624
194,516
194,301
229,1853
116,658
116,4232
116,38
116,1238
116,1365
116,1090
116,3106
242,28
248,65
247,7290
162,5220
162,1186
162,13
247,2107
319,916
332,8175
332,2798
332,522
270,4973
352,2524
364,741
69,1238
364,2440
128,6600
142,2284
332,5437
301,94
301,317
301,669
301,436
222,3092
222,1238
187,2757
399,45
403,669
403,653
403,100
399,4139
399,3425
396,2757
399,1503
418,1206
418,5374
418,483
401,13
401,436
209,11
439,249
439,121
399,5187
352,457
453,1238
453,7251
245,8
449,177
453,495
463,173
399,3792
248,9025
458,1365
488,1645
475,2846
495,284
495,2284
453,45
490,121
506,1186
506,456
506,839
506,138
511,323
511,3966
511,1547
475,3828
506,350
516,3321
416,494
506,484
506,1704
9,653
179,1567
511,65
200,100
533,4363
533,407
533,268
533,1055
530,9240
143,9070
537,115
537,35
537,100
537,1144
537,94
550,8923
497,3560
497,7579
554,405
543,1214
543,113
538,57
200,212
543,341
475,130
564,233
564,8470
574,736
564,6729
564,55
564,8508
124,662
580,1094
580,5804
580,427
580,4972
513,2098
513,1255
513,233
513,354
585,916
590,22
590,33
590,43
589,249
598,2479
603,1238
603,11
529,1186
603,516
585,6600
610,233
605,111
615,961
634,1645
632,1365
632,4221
635,4671
635,94
639,22
639,150
639,287
637,916
654,115
654,8
654,4
555,67
513,1411
662,33
662,45
448,961
448,10
554,55
554,113
488,287
670,118
670,495
624,495
239,883
497,65
497,297
643,121
663,94
663,495
446,270
718,5150
670,1238
718,249
741,264
741,8233
744,3966
670,2107
654,306
697,67
697,9632
759,709
770,94
756,1878
142,7135
697,249
697,653
801,113
811,65
811,4983
811,173
84,380
829,131
813,11
533,94
9,1582
841,3508
850,5116
839,3600
871,1645
871,287
871,898
871,499
871,38
870,2210
866,180
871,485
871,4104
870,55
870,699
914,65
914,297
916,405
639,94
589,2440
900,1679
900,819
850,426
253,249
458,249
531,4671
871,1584
961,6770
506,951
969,4388
969,1282
448,63
448,95
448,177
585,67
956,3340
801,1055
989,1892
989,3787
816,213
816,736
816,733
816,255
657,9632
926,11
1002,3966
1002,287
1007,901
1007,13
1007,100
1032,115
1033,3792
1038,2284
1038,1928
585,178
585,326
585,4055
1044,38
954,284
488,1976
1005,2770
1012,4938
1058,2107
1068,225
1033,587
1033,405
957,1214
991,984
991,3459
991,7970
991,1970
143,162
1074,38
1074,150
1007,646
1061,103
1061,2499
1061,255
1061,113
977,495
1047,121
1091,635
462,426
462,5804
504,9588
1089,1796
547,9830
976,113
1007,171
1111,10
1122,4614
547,4838
